image_name,0,1,2,3,4
img1201.png,305,80,364,143,plane
img1201.png,530,0,633,104,plane
img1201.png,421,3,474,56,plane
img1201.png,717,170,765,217,plane
img1201.png,486,46,559,124,plane
img1201.png,733,0,815,33,plane
img1201.png,500,77,556,139,plane
img1201.png,670,158,722,208,plane
img1201.png,54,191,130,265,plane
img1202.png,147,263,183,300,plane
img1202.png,188,206,232,252,plane
img1202.png,276,50,329,102,plane
img1202.png,198,212,239,254,plane
img1202.png,0,219,25,293,plane
img1203.png,249,312,307,370,plane
img1203.png,19,446,55,484,plane
img1203.png,532,405,600,472,plane
img1203.png,202,340,298,433,plane
img1204.png,564,94,646,173,plane
img1204.png,777,300,817,340,plane
img1204.png,754,369,861,476,plane
img1204.png,686,113,744,170,plane
img1204.png,877,412,946,478,plane
img1204.png,458,221,537,290,plane
img1204.png,678,219,735,275,plane
img1205.png,462,361,508,406,plane
img1205.png,430,306,482,360,plane
img1205.png,291,137,384,229,plane
img1205.png,39,212,132,308,plane
img1205.png,526,365,572,412,plane
img1206.png,145,224,184,265,plane
img1206.png,290,55,368,137,plane
img1206.png,49,442,131,529,plane
img1206.png,435,469,508,541,plane
img1206.png,186,264,241,318,plane
img1206.png,77,382,164,467,plane
img1207.png,936,521,994,578,plane
img1207.png,462,373,501,416,plane
img1207.png,866,247,901,286,plane
img1207.png,342,474,430,561,plane
img1207.png,323,204,428,308,plane
img1208.png,722,434,796,509,plane
img1208.png,553,552,646,648,plane
img1208.png,720,246,816,341,plane
img1208.png,594,350,676,433,plane
img1208.png,452,394,521,462,plane
img1209.png,694,79,784,168,plane
img1209.png,241,413,308,488,plane
img1209.png,821,260,872,311,plane
img1209.png,436,203,523,291,plane
img1209.png,339,342,381,385,plane
img1209.png,856,396,897,438,plane
img1209.png,304,261,384,341,plane
img1209.png,1042,0,1000,-33,plane
img1209.png,249,79,311,138,plane
img1209.png,921,95,977,151,plane
img1209.png,577,0,643,25,plane
img1210.png,805,332,877,401,plane
img1210.png,328,218,402,295,plane
img1210.png,519,153,586,218,plane
img1210.png,178,0,247,24,plane
img1210.png,466,11,524,68,plane
img1210.png,41,75,107,147,plane
img1211.png,0,0,-76,-172,plane
img1211.png,604,169,645,210,plane
img1211.png,44,39,100,91,plane
img1211.png,0,0,-100,-169,plane
img1212.png,532,407,585,465,plane
img1212.png,473,513,550,589,plane
img1212.png,169,273,243,343,plane
img1213.png,316,265,391,343,plane
img1213.png,107,257,205,351,plane
img1213.png,76,472,157,555,plane
img1213.png,550,0,619,57,plane
img1213.png,0,512,29,571,plane
img1214.png,215,24,283,93,plane
img1214.png,361,222,395,254,plane
img1214.png,512,0,567,29,plane
img1214.png,365,322,406,365,plane
img1214.png,490,363,531,405,plane
img1215.png,233,520,332,616,plane
img1215.png,145,537,241,632,plane
img1215.png,0,243,17,283,plane
img1215.png,328,263,412,344,plane
img1215.png,127,407,216,486,plane
img1215.png,425,503,487,573,plane
img1216.png,219,205,294,286,plane
img1217.png,835,528,888,578,plane
img1217.png,785,155,887,257,plane
img1217.png,478,445,554,522,plane
img1218.png,288,559,329,601,plane
img1218.png,861,597,905,642,plane
img1218.png,505,381,570,445,plane
img1218.png,959,672,997,700,plane
img1219.png,167,353,240,423,plane
img1219.png,300,431,367,501,plane
img1219.png,174,573,272,671,plane
img1219.png,353,451,423,516,plane
img1219.png,663,638,731,700,plane
img1219.png,610,282,701,376,plane
img1219.png,591,475,668,551,plane
img1219.png,760,343,805,391,plane
img1219.png,252,490,360,597,plane
img1219.png,250,344,302,399,plane
img1220.png,107,243,150,288,plane
img1220.png,133,36,187,86,plane
img1220.png,239,375,299,435,plane
img1220.png,133,107,200,173,plane
img1220.png,239,105,289,157,plane
img1220.png,0,200,82,292,plane
img1221.png,582,647,626,690,plane
img1221.png,865,348,931,415,plane
img1221.png,921,463,966,511,plane
img1221.png,412,515,449,551,plane
img1221.png,484,393,556,464,plane
img1221.png,363,232,455,325,plane
img1221.png,941,518,1000,598,plane
img1221.png,811,278,869,335,plane
img1222.png,33,78,115,158,plane
img1222.png,275,527,310,559,plane
img1222.png,580,332,627,383,plane
img1222.png,151,51,245,148,plane
img1222.png,540,137,595,192,plane
img1223.png,325,0,413,81,plane
img1223.png,767,185,809,229,plane
img1223.png,701,12,751,65,plane
img1223.png,574,140,645,212,plane
img1223.png,723,13,782,75,plane
img1223.png,273,177,333,233,plane
img1223.png,353,175,446,267,plane
img1223.png,614,282,678,348,plane
img1224.png,396,188,449,247,plane
img1224.png,172,160,217,204,plane
img1224.png,206,419,249,462,plane
img1224.png,644,178,695,229,plane
img1224.png,347,353,392,397,plane
img1224.png,31,422,101,488,plane
img1224.png,353,236,417,302,plane
img1224.png,201,106,298,204,plane
img1224.png,250,349,339,436,plane
img1225.png,325,210,397,284,plane
img1225.png,208,156,264,214,plane
img1225.png,514,160,563,217,plane
img1225.png,344,268,383,307,plane
img1225.png,602,161,659,221,plane
img1225.png,220,309,297,386,plane
img1225.png,385,1,478,94,plane
img1225.png,780,399,820,439,plane
img1226.png,1057,0,1000,-80,plane
img1226.png,546,75,610,137,plane
img1226.png,507,331,571,391,plane
img1226.png,694,0,802,67,plane
img1227.png,246,274,303,335,plane
img1227.png,184,444,222,482,plane
img1228.png,622,540,680,596,plane
img1228.png,822,81,858,116,plane
img1228.png,754,163,790,205,plane
img1228.png,951,581,1000,669,plane
img1228.png,399,551,459,611,plane
img1229.png,111,273,204,362,plane
img1229.png,488,385,559,454,plane
img1229.png,720,608,768,656,plane
img1229.png,252,565,316,626,plane
img1230.png,727,633,797,700,plane
img1230.png,411,389,493,471,plane
img1230.png,327,306,384,364,plane
img1230.png,211,395,291,471,plane
img1231.png,790,395,856,463,plane
img1231.png,805,246,869,313,plane
img1231.png,321,524,407,610,plane
img1231.png,424,544,506,624,plane
img1231.png,104,565,186,650,plane
img1231.png,636,681,699,700,plane
img1231.png,220,199,260,237,plane
img1231.png,783,432,891,541,plane
img1231.png,443,522,516,601,plane
img1232.png,381,387,454,458,plane
img1232.png,620,377,685,432,plane
img1232.png,753,546,795,588,plane
img1232.png,254,653,302,700,plane
img1232.png,483,652,526,695,plane
img1232.png,1039,824,1000,700,plane
img1232.png,241,436,327,518,plane
img1233.png,333,568,403,641,plane
img1233.png,899,405,967,471,plane
img1233.png,956,572,994,612,plane
img1233.png,922,565,984,626,plane
img1233.png,167,361,264,454,plane
img1233.png,912,623,992,700,plane
img1233.png,239,298,314,375,plane
img1233.png,103,487,175,555,plane
img1233.png,200,444,267,513,plane
img1233.png,230,436,266,477,plane
img1233.png,355,603,404,658,plane
img1234.png,748,466,828,549,plane
img1234.png,606,109,676,178,plane
img1234.png,543,508,581,545,plane
img1234.png,484,492,581,581,plane
img1234.png,802,208,894,300,plane
img1234.png,736,172,799,235,plane
img1234.png,220,565,289,636,plane
img1234.png,627,576,718,664,plane
img1234.png,568,238,640,301,plane
img1234.png,473,629,521,679,plane
img1234.png,308,667,345,700,plane
img1235.png,228,17,312,100,plane
img1235.png,0,0,-200,-135,plane
img1237.png,495,546,583,635,plane
img1237.png,982,104,1000,149,plane
img1237.png,962,593,1000,684,plane
img1237.png,441,464,513,534,plane
img1237.png,285,254,390,360,plane
img1237.png,682,206,775,296,plane
img1237.png,602,643,675,700,plane
img1237.png,665,322,746,400,plane
img1238.png,581,360,620,400,plane
img1238.png,254,544,296,586,plane
img1238.png,565,287,629,353,plane
img1238.png,97,674,172,700,plane
img1238.png,0,483,26,562,plane
img1239.png,274,288,347,360,plane
img1240.png,690,522,753,582,plane
img1240.png,780,295,853,367,plane
img1240.png,436,510,498,574,plane
img1241.png,321,387,369,434,plane
img1241.png,0,738,-198,700,plane
img1241.png,431,484,467,518,plane
img1241.png,452,476,533,555,plane
img1241.png,104,234,158,283,plane
img1241.png,498,258,575,343,plane
img1242.png,193,203,244,257,plane
img1242.png,301,280,339,315,plane
img1242.png,459,129,541,208,plane
img1242.png,949,536,998,587,plane
img1242.png,467,457,499,486,plane
img1242.png,866,580,937,654,plane
img1242.png,824,350,889,412,plane
img1242.png,660,107,705,154,plane
img1242.png,872,428,928,486,plane
img1242.png,216,106,278,167,plane
img1242.png,880,335,943,399,plane
img1242.png,652,484,697,528,plane
img1242.png,197,353,275,432,plane
img1243.png,965,361,1000,412,plane
img1243.png,904,311,963,368,plane
img1243.png,332,167,413,248,plane
img1243.png,483,0,562,34,plane
img1243.png,258,336,331,411,plane
img1243.png,931,268,1000,371,plane
img1243.png,865,0,952,20,plane
img1243.png,873,245,931,306,plane
img1243.png,765,0,840,39,plane
img1244.png,150,296,249,393,plane
img1245.png,124,265,233,375,plane
img1245.png,661,399,738,484,plane
img1245.png,905,102,972,170,plane
img1246.png,769,208,839,281,plane
img1246.png,222,338,286,401,plane
img1246.png,467,492,536,567,plane
img1246.png,953,370,1000,426,plane
img1247.png,610,619,676,692,plane
img1247.png,391,354,487,450,plane
img1247.png,182,374,223,412,plane
img1248.png,149,449,232,531,plane
img1248.png,419,671,522,700,plane
img1248.png,352,498,401,545,plane
img1248.png,736,584,837,685,plane
img1248.png,207,267,256,315,plane
img1248.png,461,685,521,700,plane
img1248.png,775,282,837,344,plane
img1248.png,100,237,195,332,plane
img1248.png,771,536,832,596,plane
img1248.png,408,431,484,505,plane
img1248.png,65,309,113,360,plane
img1248.png,121,229,167,277,plane
img1248.png,103,654,143,695,plane
img1249.png,701,160,748,203,plane
img1249.png,274,575,382,684,plane
img1249.png,618,527,661,569,plane
img1249.png,549,316,649,418,plane
img1250.png,793,265,875,350,plane
img1250.png,261,228,329,295,plane
img1250.png,525,428,593,496,plane
img1250.png,49,546,109,608,plane
img1250.png,473,103,526,162,plane
img1250.png,14,220,98,298,plane
img1250.png,4,573,73,643,plane
img1250.png,63,510,148,597,plane
img1250.png,759,217,840,301,plane
img1250.png,297,420,351,474,plane
img1250.png,668,370,740,440,plane
img1251.png,155,131,229,204,plane
img1251.png,883,89,950,149,plane
img1251.png,884,21,965,103,plane
img1251.png,464,153,537,225,plane
img1251.png,718,0,760,15,plane
img1251.png,660,128,757,221,plane
img1251.png,182,108,267,195,plane
img1251.png,379,323,456,398,plane
img1252.png,452,519,505,569,plane
img1252.png,54,574,120,643,plane
img1253.png,60,633,153,700,plane
img1253.png,75,649,121,694,plane
img1253.png,218,633,306,700,plane
img1253.png,127,401,167,441,plane
img1254.png,905,52,973,123,plane
img1254.png,848,0,949,84,plane
img1254.png,760,308,814,362,plane
img1254.png,549,499,605,555,plane
img1254.png,433,281,489,335,plane
img1255.png,687,267,720,300,plane
img1255.png,620,224,694,301,plane
img1255.png,824,555,866,595,plane
img1255.png,924,243,968,288,plane
img1255.png,563,470,601,509,plane
img1256.png,490,152,546,211,plane
img1256.png,434,219,487,271,plane
img1256.png,195,214,305,324,plane
img1256.png,188,64,238,113,plane
img1256.png,386,0,426,26,plane
img1257.png,324,560,380,614,plane
img1257.png,585,247,673,337,plane
img1258.png,303,527,363,584,plane
